codigo,codigoUf,nomeUf,nomeUfSigla,codigoIbge,Nome,capital
334,17,Tocantins,TO,1702703,Aurora do Tocantins,false
335,17,Tocantins,TO,1702901,Axixá do Tocantins,false
336,17,Tocantins,TO,1703008,Babaçulândia,false
337,17,Tocantins,TO,1703057,Bandeirantes do Tocantins,false
338,17,Tocantins,TO,1703073,Barra do Ouro,false
339,17,Tocantins,TO,1703107,Barrolândia,false
340,17,Tocantins,TO,1703206,Bernardo Sayão,false
341,17,Tocantins,TO,1703305,Bom Jesus do Tocantins,false
342,17,Tocantins,TO,1703602,Brasilândia do Tocantins,false
343,17,Tocantins,TO,1703701,Brejinho de Nazaré,false
344,17,Tocantins,TO,1703800,Buriti do Tocantins,false
345,17,Tocantins,TO,1703826,Cachoeirinha,false
346,17,Tocantins,TO,1703842,Campos Lindos,false
347,17,Tocantins,TO,1703867,Cariri do Tocantins,false
348,17,Tocantins,TO,1703883,Carmolândia,false
349,17,Tocantins,TO,1703891,Carrasco Bonito,false
350,17,Tocantins,TO,1703909,Caseara,false
351,17,Tocantins,TO,1704105,Centenário,false
352,17,Tocantins,TO,1704600,Chapada de Areia,false
353,17,Tocantins,TO,1705102,Chapada da Natividade,false
354,17,Tocantins,TO,1705508,Colinas do Tocantins,false
355,17,Tocantins,TO,1705557,Combinado,false
356,17,Tocantins,TO,1705607,Conceição do Tocantins,false
357,17,Tocantins,TO,1706001,Couto Magalhães,false
358,17,Tocantins,TO,1706100,Cristalândia,false
359,17,Tocantins,TO,1706258,Crixás do Tocantins,false
360,17,Tocantins,TO,1706506,Darcinópolis,false
361,17,Tocantins,TO,1707009,Dianópolis,false
362,17,Tocantins,TO,1707108,Divinópolis do Tocantins,false
363,17,Tocantins,TO,1707207,Dois Irmãos do Tocantins,false
364,17,Tocantins,TO,1707306,Dueré,false
365,17,Tocantins,TO,1707405,Esperantina,false
366,17,Tocantins,TO,1707553,Fátima,false
367,17,Tocantins,TO,1707652,Figueirópolis,false
368,17,Tocantins,TO,1707702,Filadélfia,false
369,17,Tocantins,TO,1708205,Formoso do Araguaia,false
370,17,Tocantins,TO,1708254,Fortaleza do Tabocão,false
371,17,Tocantins,TO,1708304,Goianorte,false
372,17,Tocantins,TO,1709005,Goiatins,false
373,17,Tocantins,TO,1709302,Guaraí,false
374,17,Tocantins,TO,1709500,Gurupi,false
375,17,Tocantins,TO,1709807,Ipueiras,false
376,17,Tocantins,TO,1710508,Itacajá,false
377,17,Tocantins,TO,1710706,Itaguatins,false
378,17,Tocantins,TO,1710904,Itapiratins,false
379,17,Tocantins,TO,1711100,Itaporã do Tocantins,false
380,17,Tocantins,TO,1711506,Jaú do Tocantins,false
381,17,Tocantins,TO,1711803,Juarina,false
382,17,Tocantins,TO,1711902,Lagoa da Confusão,false
383,17,Tocantins,TO,1711951,Lagoa do Tocantins,false
384,17,Tocantins,TO,1712009,Lajeado,false
385,17,Tocantins,TO,1712157,Lavandeira,false
386,17,Tocantins,TO,1712405,Lizarda,false
387,17,Tocantins,TO,1712454,Luzinópolis,false
388,17,Tocantins,TO,1712504,Marianópolis do Tocantins,false
389,17,Tocantins,TO,1712702,Mateiros,false
390,17,Tocantins,TO,1712801,Maurilândia do Tocantins,false
391,17,Tocantins,TO,1713205,Miracema do Tocantins,false
392,17,Tocantins,TO,1713304,Miranorte,false
393,17,Tocantins,TO,1713601,Monte do Carmo,false
394,17,Tocantins,TO,1713700,Monte Santo do Tocantins,false
395,17,Tocantins,TO,1713809,Palmeiras do Tocantins,false
396,17,Tocantins,TO,1713957,Muricilândia,false
397,17,Tocantins,TO,1714203,Natividade,false
398,17,Tocantins,TO,1714302,Nazaré,false
399,17,Tocantins,TO,1714880,Nova Olinda,false
400,17,Tocantins,TO,1715002,Nova Rosalândia,false
401,17,Tocantins,TO,1715101,Novo Acordo,false
402,17,Tocantins,TO,1715150,Novo Alegre,false
403,17,Tocantins,TO,1715259,Novo Jardim,false
404,17,Tocantins,TO,1715507,Oliveira de Fátima,false
405,17,Tocantins,TO,1715705,Palmeirante,false
406,17,Tocantins,TO,1715754,Palmeirópolis,false
407,17,Tocantins,TO,1716109,Paraíso do Tocantins,false
408,17,Tocantins,TO,1716208,Paranã,false
409,17,Tocantins,TO,1716307,Pau D'arco,false
410,17,Tocantins,TO,1716505,Pedro Afonso,false
411,17,Tocantins,TO,1716604,Peixe,false
412,17,Tocantins,TO,1716653,Pequizeiro,false
413,17,Tocantins,TO,1716703,Colméia,false
414,17,Tocantins,TO,1717008,Pindorama do Tocantins,false
415,17,Tocantins,TO,1717206,Piraquê,false
416,17,Tocantins,TO,1717503,Pium,false
417,17,Tocantins,TO,1717800,Ponte Alta do Bom Jesus,false
418,17,Tocantins,TO,1717909,Ponte Alta do Tocantins,false
419,17,Tocantins,TO,1718006,Porto Alegre do Tocantins,false
420,17,Tocantins,TO,1718204,Porto Nacional,false
421,17,Tocantins,TO,1718303,Praia Norte,false
422,17,Tocantins,TO,1718402,Presidente Kennedy,false
423,17,Tocantins,TO,1718451,Pugmil,false
424,17,Tocantins,TO,1718501,Recursolândia,false
425,17,Tocantins,TO,1718550,Riachinho,false
426,17,Tocantins,TO,1718659,Rio da Conceição,false
427,17,Tocantins,TO,1718709,Rio dos Bois,false
428,17,Tocantins,TO,1718758,Rio Sono,false
429,17,Tocantins,TO,1718808,Sampaio,false
430,17,Tocantins,TO,1718840,Sandolândia,false
431,17,Tocantins,TO,1718865,Santa Fé do Araguaia,false
432,17,Tocantins,TO,1718881,Santa Maria do Tocantins,false
433,17,Tocantins,TO,1718899,Santa Rita do Tocantins,false
434,17,Tocantins,TO,1718907,Santa Rosa do Tocantins,false
435,17,Tocantins,TO,1719004,Santa Tereza do Tocantins,false
436,17,Tocantins,TO,1720002,Santa Terezinha do Tocantins,false
437,17,Tocantins,TO,1720101,São Bento do Tocantins,false
438,17,Tocantins,TO,1720150,São Félix do Tocantins,false
439,17,Tocantins,TO,1720200,São Miguel do Tocantins,false
440,17,Tocantins,TO,1720259,São Salvador do Tocantins,false
441,17,Tocantins,TO,1720309,São Sebastião do Tocantins,false
442,17,Tocantins,TO,1720499,São Valério,false
443,17,Tocantins,TO,1720655,Silvanópolis,false
444,17,Tocantins,TO,1720804,Sítio Novo do Tocantins,false
445,17,Tocantins,TO,1720853,Sucupira,false
446,17,Tocantins,TO,1720903,Taguatinga,false
447,17,Tocantins,TO,1720937,Taipas do Tocantins,false
448,17,Tocantins,TO,1720978,Talismã,false
449,17,Tocantins,TO,1721000,Palmas,true
450,17,Tocantins,TO,1721109,Tocantínia,false
451,17,Tocantins,TO,1721208,Tocantinópolis,false
452,17,Tocantins,TO,1721257,Tupirama,false
453,17,Tocantins,TO,1721307,Tupiratins,false
454,17,Tocantins,TO,1722081,Wanderlândia,false
455,17,Tocantins,TO,1722107,Xambioá,false
456,21,Maranhão,MA,2100055,Açailândia,false
457,21,Maranhão,MA,2100105,Afonso Cunha,false
458,21,Maranhão,MA,2100154,Água Doce do Maranhão,false
459,21,Maranhão,MA,2100204,Alcântara,false
460,21,Maranhão,MA,2100303,Aldeias Altas,false
461,21,Maranhão,MA,2100402,Altamira do Maranhão,false
462,21,Maranhão,MA,2100436,Alto Alegre do Maranhão,false
463,21,Maranhão,MA,2100477,Alto Alegre do Pindaré,false
464,21,Maranhão,MA,2100501,Alto Parnaíba,false
465,21,Maranhão,MA,2100550,Amapá do Maranhão,false
466,21,Maranhão,MA,2100600,Amarante do Maranhão,false
467,21,Maranhão,MA,2100709,Anajatuba,false
468,21,Maranhão,MA,2100808,Anapurus,false
469,21,Maranhão,MA,2100832,Apicum-Açu,false
470,21,Maranhão,MA,2100873,Araguanã,false
471,21,Maranhão,MA,2100907,Araioses,false
472,21,Maranhão,MA,2100956,Arame,false
473,21,Maranhão,MA,2101004,Arari,false
474,21,Maranhão,MA,2101103,Axixá,false
475,21,Maranhão,MA,2101202,Bacabal,false
476,21,Maranhão,MA,2101251,Bacabeira,false
477,21,Maranhão,MA,2101301,Bacuri,false
478,21,Maranhão,MA,2101350,Bacurituba,false
479,21,Maranhão,MA,2101400,Balsas,false
480,21,Maranhão,MA,2101509,Barão de Grajaú,false
481,21,Maranhão,MA,2101608,Barra do Corda,false
482,21,Maranhão,MA,2101707,Barreirinhas,false
483,21,Maranhão,MA,2101731,Belágua,false
484,21,Maranhão,MA,2101772,Bela Vista do Maranhão,false
485,21,Maranhão,MA,2101806,Benedito Leite,false
486,21,Maranhão,MA,2101905,Bequimão,false
487,21,Maranhão,MA,2101939,Bernardo do Mearim,false
488,21,Maranhão,MA,2101970,Boa Vista do Gurupi,false
489,21,Maranhão,MA,2102002,Bom Jardim,false
490,21,Maranhão,MA,2102036,Bom Jesus das Selvas,false
491,21,Maranhão,MA,2102077,Bom Lugar,false
492,21,Maranhão,MA,2102101,Brejo,false
493,21,Maranhão,MA,2102150,Brejo de Areia,false
494,21,Maranhão,MA,2102200,Buriti,false
495,21,Maranhão,MA,2102309,Buriti Bravo,false
496,21,Maranhão,MA,2102325,Buriticupu,false
497,21,Maranhão,MA,2102358,Buritirana,false
498,21,Maranhão,MA,2102374,Cachoeira Grande,false
499,21,Maranhão,MA,2102408,Cajapió,false
500,21,Maranhão,MA,2102507,Cajari,false
501,21,Maranhão,MA,2102556,Campestre do Maranhão,false
502,21,Maranhão,MA,2102606,Cândido Mendes,false
503,21,Maranhão,MA,2102705,Cantanhede,false
504,21,Maranhão,MA,2102754,Capinzal do Norte,false
505,21,Maranhão,MA,2102804,Carolina,false
506,21,Maranhão,MA,2102903,Carutapera,false
507,21,Maranhão,MA,2103000,Caxias,false
508,21,Maranhão,MA,2103109,Cedral,false
509,21,Maranhão,MA,2103125,Central do Maranhão,false
510,21,Maranhão,MA,2103158,Centro do Guilherme,false
511,21,Maranhão,MA,2103174,Centro Novo do Maranhão,false
512,21,Maranhão,MA,2103208,Chapadinha,false
513,21,Maranhão,MA,2103257,Cidelândia,false
514,21,Maranhão,MA,2103307,Codó,false
515,21,Maranhão,MA,2103406,Coelho Neto,false
516,21,Maranhão,MA,2103505,Colinas,false
517,21,Maranhão,MA,2103554,Conceição do Lago-Açu,false
518,21,Maranhão,MA,2103604,Coroatá,false
519,21,Maranhão,MA,2103703,Cururupu,false
520,21,Maranhão,MA,2103752,Davinópolis,false
521,21,Maranhão,MA,2103802,Dom Pedro,false
522,21,Maranhão,MA,2103901,Duque Bacelar,false
523,21,Maranhão,MA,2104008,Esperantinópolis,false
524,21,Maranhão,MA,2104057,Estreito,false
525,21,Maranhão,MA,2104073,Feira Nova do Maranhão,false
